#MGI Accession ID	Chr	cM Position	genome coordinate start	genome coordinate end	strand	Marker Symbol	Status	Marker Name	Marker Type	Feature Type	Marker Synonyms (pipe-separated)
MGI:1915571	0610007P14Rik	RIKEN cDNA 0610007P14 gene	ORF11
MGI:99685	Ryr2	ryanodine receptor 2, cardiac	9330127I20Rik
MGI:99684	Ryr3	ryanodine receptor 3	calcium release channel isoform 3
MGI:1338917	S100a1	S100 calcium binding protein A1	S100a|S100
MGI:1339468	S100a10	S100 calcium binding protein A10 (calpactin)	p10|CAL12|CLP11|Cal1l|42C
MGI:1338798	S100a11	S100 calcium binding protein A11	Emap1|cal|S100c|S100a14|calgizzarin
MGI:3645720	S100a11-ps	S100 calcium binding protein A11, pseudogene	Gm5068
MGI:1913416	S100a14	S100 calcium binding protein A14	1110013O05Rik|S100a15
MGI:1915110	S100a16	S100 calcium binding protein A16	2300002L21Rik
MGI:3510999	S100a2	S100 calcium binding protein A2	EG628324|S100L|CaN19
MGI:1338849	S100a3	S100 calcium binding protein A3	S100E
MGI:1330282	S100a4	S100 calcium binding protein A4	CAPL|Capl|PeL98|FSp1|metastasin|18A2|42a|Mts1|pk9a|calvasculin
MGI:1338915	S100a5	S100 calcium binding protein A5	S100D9
MGI:1339467	S100a6	S100 calcium binding protein A6 (calcyclin)	2A9|Cacy|CALCYCLIN|PRA|5B10
MGI:2687194	S100a7a	S100 calcium binding protein A7A	S100A7f|S100a15|S100a17l1|LOC381493
MGI:88244	S100a8	S100 calcium binding protein A8 (calgranulin A)	p8|MRP8|Caga|60B8Ag|CFAg|CP-10|B8Ag
MGI:1338947	S100a9	S100 calcium binding protein A9 (calgranulin B)	60B8Ag|BEE22|Cagb|p14|L1Ag|GAGB|MRP14
MGI:104528	S100g	S100 calcium binding protein G	CaBP-D9K|Calbindin D9k|Cabp9k|Calb3|CABP1
MGI:1921898	S100pbp	S100P binding protein	4930429A08Rik
MGI:2685471	S100z	S100 calcium binding protein, zeta	LOC268686
MGI:1096355	S1pr1	sphingosine-1-phosphate receptor 1	S1P1|Edg1|S1P
MGI:99569	S1pr2	sphingosine-1-phosphate receptor 2	1100001A16Rik|LPb2|Edg5|S1P2|Gpcr13|H218
MGI:1339365	S1pr3	sphingosine-1-phosphate receptor 3	S1P3|LPb3|Edg3
MGI:1333809	S1pr4	sphingosine-1-phosphate receptor 4	lpC1|S1P4|Edg6
MGI:2150641	S1pr5	sphingosine-1-phosphate receptor 5	S1P5|lpB4|Edg8
MGI:98221	Saa1	serum amyloid A 1	Saa-1
MGI:98222	Saa2	serum amyloid A 2	Saa-2
MGI:98223	Saa3	serum amyloid A 3	l7R3|Saa-3
MGI:98224	Saa4	serum amyloid A 4	Saa-4|Saa-5
MGI:1926185	Saal1	serum amyloid A-like 1	5031425D22Rik
MGI:108518	Saa-ps	serum amyloid A, pseudogene	Saa pseudogene|ENSMUSG00000061933
MGI:1913656	Sac3d1	SAC3 domain containing 1	2410004C24Rik|Shd1
MGI:1933169	Sacm1l	SAC1 suppressor of actin mutations 1-like (yeast)	Sac1p|SAC1
MGI:1354724	Sacs	sacsin	E130115J16Rik
MGI:1929264	Sae1	SUMO1 activating enzyme subunit 1	Uble1a|2400010M20Rik|HSPC140|SUMO-1 activating enzyme subunit 1|2610044L12Rik|AOS1|D7Ertd177e
MGI:2146974	Safb	scaffold attachment factor B	5330423C17Rik|3110021E02Rik|SAFB1
MGI:98227	Sag	S-antigen, retina and pineal gland (arrestin)	A930001K18Rik|rod arrestin|Arr1|visual arrestin 1|arrestin 1
MGI:1889585	Sall1	sal-like 1 (Drosophila)	Msal-3
MGI:1354373	Sall2	sal-like 2 (Drosophila)	Msal-2
MGI:109295	Sall3	sal-like 3 (Drosophila)	B130022O04Rik|Spalt|Msal-1|Salt|Msal
MGI:2139360	Sall4	sal-like 4 (Drosophila)	C330011P20Rik|5730441M18Rik|Tex20
MGI:2443872	Samd10	sterile alpha motif domain containing 10	D930033N23Rik
MGI:2446220	Samd11	sterile alpha motif domain containing 11	mr-s
MGI:2444518	Samd12	sterile alpha motif domain containing 12	A830094I09Rik
MGI:2686498	Samd13	sterile alpha motif domain containing 13	LOC381481
MGI:2685109	Samd15	sterile alpha motif domain containing 15	Gm263|LOC238333
MGI:2685469	Samd3	sterile alpha motif domain containing 3	LOC268288
MGI:1921730	Samd4	sterile alpha motif domain containing 4	4933436G17Rik|Smaug|1700024G08Rik|sunk|1700111L17Rik
MGI:2444815	Samd5	sterile alpha motif domain containing 5	E130306M17Rik
MGI:1923203	Samd7	sterile alpha motif domain containing 7	4930597A01Rik
MGI:1914880	Samd8	sterile alpha motif domain containing 8	1700010P07Rik|1110053F04Rik
MGI:1343184	Samd9l	sterile alpha motif domain containing 9-like	ESTM25
MGI:1927468	Samhd1	SAM domain and HD domain, 1	E330031J07Rik
MGI:1915903	Samm50	SAMM50 sorting and assembly machinery component	1110030L07Rik
MGI:1914992	Samsn1	SAM domain, SH3 domain and nuclear localization signals, 1	4930571B16Rik|Hacs1
MGI:3709338	Samt1	spermatogenesis associated multipass transmembrane protein 1	Gm15144
MGI:3646587	Samt2	spermatogenesis associated multipass transmembrane protein 2	Gm5647
MGI:1920745	Samt3	spermatogenesis associated multipass transmembrane protein 3	1700072E05Rik
MGI:1922435	Samt4	spermatogenesis associated multipass transmembrane protein 4	4930542N07Rik
MGI:1919782	Sap130	Sin3A associated protein	2610304F09Rik
MGI:1277978	Sap18	Sin3-associated polypeptide 18	D11Ertd539e|C530046K05Rik|Sinbp1|Sap18a|EMegR4
MGI:3704317	Sap18b	Sin3-associated polypeptide 18B	Gm10094
MGI:3802945	Sap25	sin3 associated polypeptide	25 kDa
MGI:1929129	Sap30	sin3 associated polypeptide	30kDa
MGI:1927479	Sap30bp	SAP30 binding protein	Hcngp|2700016D05Rik
MGI:3650575	Sap30bpos	SAP30 binding protein, opposite strand	Gm11721
MGI:1354709	Sap30l	SAP30-like	2310079P12Rik|L55
MGI:2388100	Sapcd1	suppressor APC domain containing 1	G7d|Ng23
MGI:1919330	Sapcd2	suppressor APC domain containing 2	6030458L21Rik|2010317E24Rik|ang
MGI:98230	Sar1a	secretion associated Ras related GTPase 1A	Sara1|1600019H17Rik
MGI:1913647	Sar1b	secretion associated Ras related GTPase 1B	2900019I22Rik|2310075M17Rik|Sara2
MGI:1915137	Saraf	store-operated calcium entry-associated regulatory factor	Tmem66|1810045K07Rik
MGI:4937898	Sardhos	sarcosine dehydrogenase, opposite strand	Gm17071
MGI:2136419	Sarm1	sterile alpha and HEAT/Armadillo motif containing 1	A830091I15Rik|MyD88-5
MGI:1913368	Sarnp	SAP domain containing ribonucleoprotein	1110005A23Rik
MGI:102809	Sars	seryl-aminoacyl-tRNA synthetase	Strs
MGI:1919234	Sars2	seryl-aminoacyl-tRNA synthetase 2	2410015F05Rik|D7Ertd353e
MGI:1309453	Sart1	squamous cell carcinoma antigen recognized by T cells 1	U5-110K
MGI:98232	Sas2	serum antigenic substance 2	Sas-2
MGI:1917347	Sash1	SAM and SH3 domain containing 1	1100001C18Rik|2500002E12Rik|A330076K04Rik
MGI:1921381	Sash3	SAM and SH3 domain containing 3	1200013B08Rik|SLY1
MGI:1920026	Sass6	SAS-6 centriolar assembly protein	2810453L12Rik
MGI:1916465	Sat2	spermidine/spermine N1-acetyl transferase 2	SSAT2|2610016A03Rik|SSAT-2
MGI:105084	Satb1	special AT-rich sequence binding protein 1	2610306G12Rik
MGI:1921059	Satl1	spermidine/spermine N1-acetyl transferase-like 1	4930404K22Rik
MGI:3607718	sau	sauron	1239
MGI:1927144	Sav1	salvador family WW domain containing 1	WW45|1700040G09Rik|Salv
MGI:1923061	Saxo1	stabilizer of axonemal microtubules 1	4930500O09Rik|Fam154a
MGI:1922138	Saxo1os	stabilizer of axonemal microtubules 1, opposite strand	4930457A20Rik|Fam154aos
MGI:1914618	Saxo2	stabilizer of axonemal microtubules 2	1700129I04Rik|Fam154b
MGI:1914759	Saysd1	SAYSVFN motif domain containing 1	1810063B07Rik|4930488P03Rik
MGI:3612944	Sbcf	sperm beat cross frequency	BCF
MGI:1913961	Sbds	SBDS ribosome assembly guanine nucleotide exchange factor	Shwachman-Bodian-Diamond syndrome homolog (human)|4733401P19Rik
MGI:1925230	Sbf1	SET binding factor 1	Mtmr5|B230113C15Rik|2610510A08Rik
MGI:1921831	Sbf2	SET binding factor 2	SBF2|mMTMH1|4833411B01Rik|Mtmr13|B430219L04Rik
MGI:2685925	Sbk2	SH3-binding domain kinase family, member 2	LOC381836
MGI:2685924	Sbk3	SH3 domain binding kinase family, member 3	Gm1078|LOC381835
MGI:3628456	Sbmd5	spinal bone mineral density 5	Pmsbmd1
MGI:2384298	Sbno1	strawberry notch homolog 1 (Drosophila)	sno|9330180L10Rik
MGI:2448490	Sbno2	strawberry notch homolog 2 (Drosophila)	Stno
MGI:106021	Sbp	spermine binding protein	p25
MGI:3694550	Sbpl	spermine binding protein-like	2310068J22Rik
MGI:2446326	Sbsn	suprabasin	1110005D19Rik
MGI:2684952	Sbspon	somatomedin B and thrombospondin, type 1 domain containing	Gm106|LOC226866
MGI:1353611	Sc5d	sterol-C5-desaturase	A830073K23Rik
MGI:1919443	Scaf11	SR-related CTD-associated factor 11	CASP11|Sfrs2ip|SRRP129|Srsf2ip|1110061H03Rik|SIP1|2610510E10Rik
MGI:2146350	Scaf4	SR-related CTD-associated factor 4	Srsf15|Sfrs15|Sra4
MGI:1925212	Scaf8	SR-related CTD-associated factor 8	Rbm16|A630086M08Rik|A930036P18Rik
MGI:2443716	Scai	suppressor of cancer cell invasion	A930041I02Rik
MGI:1349480	Scamp1	secretory carrier membrane protein 1	4930505M11Rik
MGI:1346518	Scamp2	secretory carrier membrane protein 2	Sc2
MGI:1346346	Scamp3	secretory carrier membrane protein 3	Sc3
MGI:1928947	Scamp4	secretory carrier membrane protein 4	Sc4|2410022D05Rik
MGI:1928948	Scamp5	secretory carrier membrane protein 5	Sc5
MGI:1343132	Scand1	SCAN domain-containing 1	Ppargc2|PGC-2|2310003H23Rik|Leap1
MGI:1925976	Scaper	S phase cyclin A-associated protein in the ER	D530014O03Rik|Zfp291
MGI:2444418	Scara3	scavenger receptor class A, member 3	C130058N24Rik
MGI:1918395	Scara5	scavenger receptor class A, member 5	4932433F15Rik|4933425F03Rik
MGI:893578	Scarb1	scavenger receptor class B, member 1	SR-BI|Hlb398|Cla-1|Cd36l1|Chohd1|Chohd1|SRBI|Srb1|D5Ertd460e|Hdlq1
MGI:1196458	Scarb2	scavenger receptor class B, member 2	LGP85|LIMP II|9330185J12Rik|Cd36l2|LIMP-2
MGI:2449455	Scarf1	scavenger receptor class F, member 1	SREC-I|SREC
MGI:1858430	Scarf2	scavenger receptor class F, member 2	Srec2|SREC-II
MGI:1924064	Scarletltr	Scarletltr, erythroid developmental long intergenic non-protein coding transcript	2600006L11Rik
MGI:3819482	Scarna10	small Cajal body-specific RNA 10	MBI-52
MGI:4360027	Scarna13	small Cajal body-specific RNA 1	U93
MGI:3819483	Scarna17	small Cajal body-specific RNA 17	MBII-119
MGI:3819484	Scarna2	small Cajal body-specific RNA 2	MBII-382
MGI:3819485	Scarna3a	small Cajal body-specific RNA 3A	MBI-114
MGI:3819486	Scarna3b	small Cajal body-specific RNA 3B	MBI-100
MGI:3819487	Scarna6	small Cajal body-specific RNA 6	MBI-46
MGI:3819488	Scarna8	small Cajal body-specific RNA 8	MBI-57
MGI:1924486	Sccpdh	saccharopine dehydrogenase (putative)	C330023F11Rik
MGI:98239	Scd1	stearoyl-Coenzyme A desaturase 1	Scd-1|SCD|stearoyl-CoA desaturase
MGI:98240	Scd2	stearoyl-Coenzyme A desaturase 2	Scd-2
MGI:1353437	Scd3	stearoyl-coenzyme A desaturase 3	4930513N16Rik
MGI:1891228	Scel	sciellin	9230114I02Rik
MGI:1924233	Scfd1	Sec1 family domain containing 1	STXBP1L2|3110021P21Rik|RA410
MGI:2443446	Scfd2	Sec1 family domain containing 2	E430013M20Rik|STXBP1L1
MGI:3042912	Scfpq1	subcutaneous fat pad percentage QTL 1	Scf%q1
MGI:103033	Scg2	secretogranin II	Chgc|SgII
MGI:103032	Scg3	secretogranin III	SgIII|Chgd|1B1075
MGI:98289	Scg5	secretogranin V	Sgne1|Sgne-1|7B2
MGI:98919	Scgb1a1	secretoglobin, family 1A, member 1 (uteroglobin)	CC10|PCB-BP|CC16|UG|Blastokinin|Utg|clara cell secretory protein|CCSP
MGI:3782569	Scgb1b10	secretoglobin, family 1B, member 10	Abpa10|Gm4384
MGI:5581331	Scgb1b11	secretoglobin, family 1B, member 11	Abpa11
MGI:3645736	Scgb1b12	secretoglobin, family 1B, member 12	Abpa12|Gm9140
MGI:5578739	Scgb1b13-ps	secretoglobin, family 1B, member 13, pseudogene	Abpa13-ps
MGI:5578740	Scgb1b14-ps	secretoglobin, family 1B, member 14, pseudogene	Abpa14-ps
MGI:3782584	Scgb1b15	secretoglobin, family 1B, member 15	Gm4399|Abpa15
MGI:5578741	Scgb1b16-ps	secretoglobin, family 1B, member 16, pseudogene	Abpa16-ps
MGI:3809666	Scgb1b17	secretoglobin, family 1B, member 17	Gm4406|Abpa17
MGI:5578742	Scgb1b18	secretoglobin, family 1B, member 18	Abpa18
MGI:3646447	Scgb1b19	secretoglobin, family 1B, member 19	Gm5632|Abpa19
MGI:5578743	Scgb1b1-ps	secretoglobin, family 1B, member 1, pseudogene	Abpa1-ps
MGI:1930867	Scgb1b2	secretoglobin, family 1B, member 2	Apbh|Mja1l|Abph|lacrimal gland protein|LGP|Scgb1b1|Abpa2
MGI:3779681	Scgb1b20	secretoglobin, family 1B, member 20	Gm5895|Abpa20|Gm7147
MGI:3782875	Scgb1b21	secretoglobin, family 1B, member 21	Abpa21|Gm4695
MGI:3649636	Scgb1b22-ps	secretoglobin, family 1B, member 22, pseudogene	Abpa22-ps
MGI:3650279	Scgb1b23-ps	secretoglobin, family 1B, member 23, pseudogene	Abpa23-ps
MGI:3649643	Scgb1b24	secretoglobin, family 1B, member 24	Abpa24|Gm12769
MGI:5578744	Scgb1b25-ps	secretoglobin, family 1B, member 25, pseudogene	Abpa25-ps
MGI:3649711	Scgb1b26-ps	secretoglobin, family 1B, member 26, pseudogene	Abpa26-ps
MGI:87862	Scgb1b27	secretoglobin, family 1B, member 27	Abpa|Abp|Abpa27|Tcp|Sal-1
MGI:5581333	Scgb1b28-ps	secretoglobin, family 1B, member 28, pseudogene	Abpa28-ps
MGI:3644231	Scgb1b29	secretoglobin, family 1B, member 29	Abpa29|Gm5326
MGI:3644233	Scgb1b3	secretoglobin, family 1B, member 3	Gm5325|Abpa3
MGI:3649901	Scgb1b30	secretoglobin, family 1B, member 30	Gm12776|Abpa30
MGI:5012314	Scgb1b34-ps	secretoglobin, family 1B, member 34, pseudogene	Abpa28-ps|Scgb1b28-ps
MGI:5578745	Scgb1b4-ps	secretoglobin, family 1B, member 4, pseudogene	Abpa4-ps
MGI:5578746	Scgb1b5-ps	secretoglobin, family 1B, member 5, pseudogene	Abpa5-ps
MGI:3780117	Scgb1b6-ps	secretoglobin, family 1B, member 6, pseudogene	Abpa6-ps
MGI:3643480	Scgb1b7	secretoglobin, family 1B, member 7	Gm6662|Abpa7
MGI:5578747	Scgb1b8-ps	secretoglobin, family 1B, member 8, pseudogene	Abpa8-ps
MGI:5578748	Scgb1b9-ps	secretoglobin, family 1B, member 9, pseudogene	Abpa9-ps
MGI:2655401	Scgb1c1	secretoglobin, family 1C, member 1	Ryd5
MGI:3782857	Scgb2b1	secretoglobin, family 2B, member 1	Abpbg1
MGI:3643785	Scgb2b10	secretoglobin, family 2B, member 10	Gm6513|Abpbg10
MGI:3782867	Scgb2b11	secretoglobin, family 2B, member 11	Gm4687|Abpbg11
MGI:3645177	Scgb2b12	secretoglobin, family 2B, member 12	Abpbg12|Gm9138
MGI:5578749	Scgb2b13-ps	secretoglobin, family 2B, member 13, pseudogene	Abpbg13-ps
MGI:5578750	Scgb2b14-ps	secretoglobin, family 2B, member 14, pseudogene	Abpbg14-ps
MGI:3644904	Scgb2b15	secretoglobin, family 2B, member 15	Abpb15|Gm6504
MGI:5578751	Scgb2b16-ps	secretoglobin, family 2B, member 16, pseudogene	Abpbg16-ps
MGI:3647697	Scgb2b17	secretoglobin, family 2B, member 17	Gm9223|Abpbg17
MGI:3782872	Scgb2b18	secretoglobin, family 2B, member 18	Abpbg18|Gm4692
MGI:3648809	Scgb2b19	secretoglobin, family 2B, member 19	Abpbg19|Gm5894
MGI:3042579	Scgb2b2	secretoglobin, family 2B, member 2	Abpbg2|Abpe
MGI:3514009	Scgb2b20	secretoglobin, family 2B, member 20	Abpd|Abpbg20|C2c
MGI:3648283	Scgb2b21	secretoglobin, family 2B, member 21	Gm6725|Abpbg21
MGI:3649641	Scgb2b22-ps	secretoglobin, family 2B, member 22, pseudogene	Abpbg22-ps
MGI:2655747	Scgb2b23-ps	secretoglobin, family 2B, member 23, pseudogene	Scgb2b1-ps|Abpbg23-ps|C2y
MGI:2655741	Scgb2b24	secretoglobin, family 2B, member 24	Abpbg24|Abpz|C2b|Scgb2b3
MGI:3649900	Scgb2b25-ps	secretoglobin, family 2B, member 25, pseudogene	Abpbg25-ps
MGI:87864	Scgb2b26	secretoglobin, family 2B, member 26	Abpbg26|Scgb2b4|C2d|Abpbg4|Abpg
MGI:87863	Scgb2b27	secretoglobin, family 2B, member 27	C2a|Scgb2b5|Abpbg5|Abpb|Abpbg27
MGI:5578752	Scgb2b28-ps	secretoglobin, family 2B, member 28, pseudogene	Abpbg28-ps
MGI:5578753	Scgb2b29-ps	secretoglobin, family 2B, member 29, pseudogene	Abpbg29-ps
MGI:3782547	Scgb2b3	secretoglobin, family 2B, member 3	Abpbg3|Gm4362
MGI:3646832	Scgb2b30	secretoglobin, family 2B, member 30	Gm6703|Abpbg30
MGI:5578754	Scgb2b31-ps	secretoglobin, family 2B, member 31, pseudogene	Abpbg31-ps
MGI:5578755	Scgb2b32-ps	secretoglobin, family 2B, member 32, pseudogene	Abpbg32-ps
MGI:3643719	Scgb2b33	secretoglobin, family 2B, member 33	Gm9161|Abpbg33
MGI:5578756	Scgb2b4-ps	secretoglobin, family 2B, member 4, pseudogene	Abpbg4-ps
MGI:5578757	Scgb2b5-ps	secretoglobin, family 2B, member 5, pseudogene	Abpbg5-ps
MGI:5011792	Scgb2b6	secretoglobin, family 2B, member 6	Gm19607|Abpbg6
MGI:3782864	Scgb2b7	secretoglobin, family 2B, member 7	Abpbg7|Gm4684
MGI:5578758	Scgb2b8-ps	secretoglobin, family 2B, member 8, pseudogene	Abpbg8-ps
MGI:5578759	Scgb2b9-ps	secretoglobin, family 2B, member 9, pseudogene	Abpbg9-ps
MGI:1915912	Scgb3a1	secretoglobin, family 3A, member 1	UGRP2|LuLeu2|HIN-1|1110030K16Rik
MGI:2153470	Scgb3a2	secretoglobin, family 3A, member 2	UGRP1|LuLeu1
MGI:3624655	Scgq1	spontaneous crescentic glomerulonephritis QTL 1	Scg-1
MGI:3624656	Scgq2	spontaneous crescentic glomerulonephritis QTL 2	Scg-2
MGI:3624657	Scgq3	spontaneous crescentic glomerulonephritis QTL 3	Scg-3
MGI:3624668	Scgq4	spontaneous crescentic glomerulonephritis QTL 4	Scg-4
MGI:3624670	Scgq5	spontaneous crescentic glomerulonephritis QTL 5	Scg-5
MGI:1353557	Schip1	schwannomin interacting protein 1	SCHIP-1
MGI:3610314	Scimp	SLP adaptor and CSK interacting membrane protein	A430084P05Rik
MGI:1306794	Scin	scinderin	adseverin
MGI:98243	Scl1	susceptibility to cutaneous leishmaniasis 1	Scl-1
MGI:98244	Scl2	susceptibility to cutaneous leishmaniasis 2	Scl-2
MGI:3800840	Scln	sacral length	Skl18.04
MGI:1914411	Sclt1	sodium channel and clathrin linker 1	4931421F20Rik|2610207F23Rik
MGI:3797970	Sclw	sacral width	Skl7.08
MGI:1355310	Scly	selenocysteine lyase	Scly1|SCL|A930015N15Rik|Selenocysteine reductase|Scly2
MGI:1352762	Scmh1	sex comb on midleg homolog 1	Scml3
MGI:2684893	Scml1	Vsex comb on midleg-like 1 (Drosophila)	LOC386491|LOC195726
MGI:1340042	Scml2	sex comb on midleg-like 2 (Drosophila)	4932420G07Rik
MGI:108029	Scn10a	sodium channel, voltage-gated, type X, alpha	Nav1.8
MGI:1345149	Scn11a	sodium channel, voltage-gated, type XI, alpha	NaN|SNS2|NaT|NSS2
MGI:98246	Scn1a	sodium channel, voltage-gated, type I, alpha	Nav1.1
MGI:98248	Scn2a	sodium channel, voltage-gated, type II, alpha	Nav1.2|Scn2a1|A230052E19Rik
MGI:106921	Scn2b	sodium channel, voltage-gated, type II, beta	2810451E09Rik|LOC214238
MGI:98249	Scn3a	sodium channel, voltage-gated, type III, alpha	Nav1.3|LOC381367
MGI:1918882	Scn3b	sodium channel, voltage-gated, type III, beta	1110001K16Rik|4833414B02Rik
MGI:98250	Scn4a	sodium channel, voltage-gated, type IV, alpha	mH2|SkM1|Nav1.4
MGI:2687406	Scn4b	sodium channel, type IV, beta	LOC384934
MGI:98251	Scn5a	sodium channel, voltage-gated, type V, alpha	Nav1.5c|mH1|Nav1.5|SkM2
MGI:102965	Scn7a	sodium channel, voltage-gated, type VII, alpha	Nav2.3|Nax|Nav2|Scn6a|1110034K09Rik|NaG
MGI:103169	Scn8a	sodium channel, voltage-gated, type VIII, alpha	motor end-plate disease|nmf58|ataxia 3|nmf2|seal|mnd-2|mnd2|nmf335|med|nur14|NMF335|C630029C19Rik|NaCh6|Nav1.6
MGI:107636	Scn9a	sodium channel, voltage-gated, type IX, alpha	PN1
MGI:1341284	Scnm1	sodium channel modifier 1	Scnm1-ps|3110001I17Rik
MGI:101782	Scnn1a	sodium channel, nonvoltage-gated 1 alpha	ENaC alpha|Scnn1|mENaC
MGI:104696	Scnn1b	sodium channel, nonvoltage-gated 1 beta	ENaC beta
MGI:104695	Scnn1g	sodium channel, nonvoltage-gated 1 gamma	ENaC gamma
MGI:106362	Sco1	SCO1 cytochrome c oxidase assembly protein	2610001C07Rik|D11Bwg1310e
MGI:1927654	Scoc	short coiled-coil protein	2810002J11Rik|0610011C06Rik|short coiled-coil protein
MGI:98254	Scp2	sterol carrier protein 2, liver	NSL-TP|nonspecific lipid transfer protein|SCP-2|SCPx|ns-LTP
MGI:1913578	Scp2d1	SCP2 sterol-binding domain containing 1	1700010M22Rik
MGI:1921867	Scpep1	serine carboxypeptidase 1	2410018F01Rik|4833411K15Rik|Risc
MGI:1921171	Scpep1os	serine carboxypeptidase 1, opposite strand	4930405P13Rik
MGI:2149827	Scpro1	stem cell proliferation 1	Scp1
MGI:2149828	Scpro2	stem cell proliferation 2	Scp2
MGI:2671641	scpt	scorpion tail	Sct
MGI:3521948	Scq1	spinal cord QTL 1	SC1
MGI:2145950	Scrib	scribbled planar cell polarity	Scrb1|Crc
MGI:1917188	Scrn1	secernin 1	2810019K23Rik|6330535A03Rik|SES1
MGI:1343092	Scrn2	secernin 2	D11Moh48|SES2
MGI:1921866	Scrn3	secernin 3	4833415E20Rik
MGI:2441720	Sctr	secretin receptor	6530402O03Rik
MGI:1890616	Scube1	signal peptide, CUB domain, EGF-like 1	7330410C13Rik|A630023E24Rik
MGI:1928765	Scube2	signal peptide, CUB domain, EGF-like 2	ICRFP703N2430Q5.1|4932442O19Rik|Cegf1|ICRFP703B1614Q5.1
MGI:3045253	Scube3	signal peptide, CUB domain, EGF-like 3	D030038I21Rik
MGI:102934	Scx	scleraxis	bHLHa41|Scl
MGI:1931787	Scyl1	SCY1-like 1 (S. cerevisiae)	Ntkl|mdf|mfd|2810011O19Rik|p105
MGI:1289172	Scyl2	SCY1-like 2 (S. cerevisiae)	D10Ertd802e|CVAK104
MGI:1921385	Scyl3	SCY1-like 3 (S. cerevisiae)	1200016D23Rik|Pace1
MGI:1349162	Sdc1	syndecan 1	syn-1|CD138|Synd|Synd1
MGI:1349165	Sdc2	syndecan 2	Hspg1|Synd2|fibroglycan|4833414L08Rik
MGI:1349163	Sdc3	syndecan 3	Synd3|syn-3
MGI:1349164	Sdc4	syndecan 4	syndecan-4|Synd4|S4|ryudocan
MGI:1337026	Sdcbp	syndecan binding protein	Sycl|syntenin|syndecan interacting protein|syntenin-1|MDA-9
MGI:1915362	Sdccag3	serologically defined colon cancer antigen 3	C330016H24Rik|C630038K21Rik
MGI:1924066	Sdccag8	serologically defined colon cancer antigen 8	CCCAP|2700048G21Rik|5730470G24Rik
MGI:1349159	Sdc-ps1	syndecan, pseudogene 1	Synd-ps1
MGI:1349160	Sdc-ps2	syndecan, pseudogene 2	Synd-ps2
MGI:1349161	Sdc-rs3	syndecan, related sequence 3	Synd-rs3
MGI:2384788	Sde2	SDE2 telomere maintenance homolog (S. pombe)	BC031781
MGI:108079	Sdf4	stromal cell derived factor 4	Cab45
MGI:1914195	Sdha	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	2310034D06Rik|FP|SDHF|SDH2
MGI:1915582	Sdhaf1	succinate dehydrogenase complex assembly factor 1	0610010E21Rik|Lyrm8
MGI:1913322	Sdhaf2	succinate dehydrogenase complex assembly factor 2	0610038F07Rik
MGI:1913288	Sdhaf3	succinate dehydrogenase complex assembly factor 3	Acn9|0610005M07Rik|4933430A16Rik
MGI:1915252	Sdhaf4	succinate dehydrogenase complex assembly factor 4	1110058L19Rik
MGI:1914930	Sdhb	succinate dehydrogenase complex, subunit B, iron sulfur (Ip)	0710008N11Rik
MGI:1913302	Sdhc	succinate dehydrogenase complex, subunit C, integral membrane protein	0610010E03Rik
MGI:1914175	Sdhd	succinate dehydrogenase complex, subunit D, integral membrane protein	3110001M13Rik
MGI:2444413	Sdk1	sidekick cell adhesion molecule 1	6720466O15Rik
MGI:2443847	Sdk2	sidekick cell adhesion molecule 2	4632412F08Rik|5330435L01Rik
MGI:99513	Sdpr	serum deprivation response	cavin 2
MGI:98268	Sdr1	serine dehydratase regulator 1	Sdr-1
MGI:2668443	Sdr16c5	short chain dehydrogenase/reductase family 16C, member 5	Rdhe2|Scdr9
MGI:2685269	Sdr16c6	short chain dehydrogenase/reductase family 16C, member 6	4833413O15Rik
MGI:98269	Sdr2	serine dehydratase regulator 2	Sdr-2
MGI:1916876	Sdr39u1	short chain dehydrogenase/reductase family 39U, member 1	2310014G06Rik
MGI:1921282	Sdr42e1	short chain dehydrogenase/reductase family 42E, member 1	4632417N05Rik
MGI:1917311	Sdr9c7	4short chain dehydrogenase/reductase family 9C, member 7	SDR-O|Rdh20|1810054F20Rik|Sdro|Rdhs
MGI:98270	Sds	serine dehydratase	SDH
MGI:2182607	Sdsl	serine dehydratase-like	SDS-RS1|4432411H13Rik|SDH1
MGI:3607511	Sdtq1	skull development traits QTL 1	L1.2
MGI:3607520	Sdtq10	skull development traits QTL 10	L17|E17
MGI:3607521	Sdtq11	skull development traits QTL 11	L19
MGI:3607512	Sdtq2	skull development traits QTL 2	L2
MGI:3607513	Sdtq3	skull development traits QTL 3	L2
MGI:3607514	Sdtq4	skull development traits QTL 4	E5
MGI:3607515	Sdtq5	skull development traits QTL 5	E7.1
MGI:3607516	Sdtq6	skull development traits QTL 6	L8
MGI:3607517	Sdtq7	skull development traits QTL 7	L9.1
MGI:3607518	Sdtq8	skull development traits QTL 8	E10.1
MGI:3607519	Sdtq9	skull development traits QTL 9	E10.2
MGI:108012	Sebox	SEBOX homeobox	OG9|Og9x
MGI:1928893	Sec1	secretory blood group 1	Fut3|GDP-L-fucose:beta-D-galactoside 2-alpha-L-fucosyltransferase FUT-III
MGI:1929464	Sec11a	SEC11 homolog A, signal peptidase complex subunit	Spc18|Sec11l1|18kDa|1810012E07Rik|sid2895
